,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,symChange
72,60deffe3f20fbd0009ce6226,UJJIVANSFB,EQ,N,30.9,30.6,30.7,30.65,30.65,30.65,967843,29743200.8,44.6,26.5,2953,INE551W01018,2021-07-02,2021-07-01T18:30:00.000Z,2021-07-02T12:00:35.649Z,2021-07-02T12:00:35.649Z,0,30.73,02-Jul-2021,
73,60e2f461d502fe0008ce9a37,UJJIVANSFB,EQ,N,31.0,30.5,31.0,30.6,30.55,30.65,1722857,52866447.25,44.6,26.5,4611,INE551W01018,2021-07-05,2021-07-04T18:30:00.000Z,2021-07-05T12:00:33.891Z,2021-07-05T12:00:33.891Z,0,30.69,05-Jul-2021,
74,60e445e3d77ada00087bd0a7,UJJIVANSFB,EQ,N,30.8,30.1,30.6,30.15,30.2,30.6,2505023,76272089.45,44.6,26.5,6816,INE551W01018,2021-07-06,2021-07-05T18:30:00.000Z,2021-07-06T12:00:35.933Z,2021-07-06T12:00:35.933Z,0,30.45,06-Jul-2021,
75,60e5976325a08e00087c0b6e,UJJIVANSFB,EQ,N,32.5,29.55,29.55,31.6,32.2,30.15,25874369,810008747.25,44.6,26.5,28421,INE551W01018,2021-07-07,2021-07-06T18:30:00.000Z,2021-07-07T12:00:35.393Z,2021-07-07T12:00:35.393Z,0,31.31,07-Jul-2021,
76,60e6e8e16972b0000896f0c9,UJJIVANSFB,EQ,N,31.6,30.1,31.15,30.25,30.35,31.6,13689871,422651662.75,44.6,26.5,19900,INE551W01018,2021-07-08,2021-07-07T18:30:00.000Z,2021-07-08T12:00:33.836Z,2021-07-08T12:00:33.836Z,0,30.87,08-Jul-2021,
77,60e83a85b37c0d0008397840,UJJIVANSFB,EQ,N,31.55,30.1,30.25,30.5,30.55,30.25,13949950,428923757.95,44.6,26.5,18155,INE551W01018,2021-07-09,2021-07-08T18:30:00.000Z,2021-07-09T12:01:09.731Z,2021-07-09T12:01:09.731Z,0,30.75,09-Jul-2021,
78,60ec2edb4341d20008421ec4,UJJIVANSFB,EQ,N,33.8,30.7,32.0,30.95,31.0,30.5,43319204,1394029857.1,44.6,26.5,72344,INE551W01018,2021-07-12,2021-07-11T18:30:00.000Z,2021-07-12T12:00:27.907Z,2021-07-12T12:00:27.907Z,0,32.18,12-Jul-2021,
79,60ed80611c0e4d0008511b55,UJJIVANSFB,EQ,N,31.6,30.75,31.0,30.85,30.85,30.95,15877865,493579903.1,44.6,26.5,28454,INE551W01018,2021-07-13,2021-07-12T18:30:00.000Z,2021-07-13T12:00:33.351Z,2021-07-13T12:00:33.351Z,0,31.09,13-Jul-2021,
80,60eed1ff3872ec0008fc047f,UJJIVANSFB,EQ,N,31.15,30.75,30.95,30.8,30.85,30.85,5196092,160739797.4,44.6,26.5,10179,INE551W01018,2021-07-14,2021-07-13T18:30:00.000Z,2021-07-14T12:01:03.594Z,2021-07-14T12:01:03.594Z,0,30.93,14-Jul-2021,
81,60f02382cc96fb000856e7f4,UJJIVANSFB,EQ,N,31.0,30.5,31.0,30.6,30.65,30.8,3497653,107577656.25,44.6,26.5,6271,INE551W01018,2021-07-15,2021-07-14T18:30:00.000Z,2021-07-15T12:01:06.791Z,2021-07-15T12:01:06.791Z,0,30.76,15-Jul-2021,
