,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA,symChange
32,61681bfe03a7b2000873de4f,STLTECH,EQ,N,286.9,280.3,281.5,282.6,283.0,279.55,397540,112624087.45,318.0,142.5,8706,INE089C01029,2021-10-14,2021-10-13T18:30:00.000Z,2021-10-14T12:01:02.883Z,2021-10-14T12:01:02.883Z,0,283.3,14-Oct-2021,,
33,616d61e481039a0008f76649,STLTECH,EQ,N,287.0,279.5,284.9,280.55,280.2,282.6,909026,257609250.5,318.0,142.5,22011,INE089C01029,2021-10-18,2021-10-17T18:30:00.000Z,2021-10-18T12:00:36.315Z,2021-10-18T12:00:36.315Z,0,283.39,18-Oct-2021,,
34,616eb37e2137b10008e72e47,STLTECH,EQ,N,283.9,270.1,282.0,273.5,273.0,280.55,511843,142586952.45,318.0,142.5,11143,INE089C01029,2021-10-19,2021-10-18T18:30:00.000Z,2021-10-19T12:01:02.604Z,2021-10-19T12:01:02.604Z,0,278.58,19-Oct-2021,,
35,6107de7e4c6c270008f2173f,STLTECH,EQ,N,304.0,292.25,292.9,301.65,302.0,291.55,549273,164559550.15,318.0,115.5,12259,INE089C01029,2021-08-02,2021-08-01T18:30:00.000Z,2021-08-02T12:01:03.011Z,2021-08-02T12:01:03.011Z,0,299.6,02-Aug-2021,,
36,61092fe2ddfad700096fd879,STLTECH,EQ,N,318.0,301.0,301.0,312.35,309.65,301.65,1275590,395577286.2,318.0,115.5,16247,INE089C01029,2021-08-03,2021-08-02T18:30:00.000Z,2021-08-03T12:00:34.525Z,2021-08-03T12:00:34.525Z,0,310.11,03-Aug-2021,,
37,610a815cddfad70009998d7e,STLTECH,EQ,N,312.05,296.0,310.8,298.4,298.5,312.35,636927,193604651.3,318.0,115.5,13392,INE089C01029,2021-08-04,2021-08-03T18:30:00.000Z,2021-08-04T12:00:28.648Z,2021-08-04T12:00:28.648Z,0,303.97,04-Aug-2021,,
38,610bd300c5cd9d00085921b5,STLTECH,EQ,N,300.9,290.7,300.45,294.6,294.35,298.4,335243,98633475.35,318.0,115.5,6753,INE089C01029,2021-08-05,2021-08-04T18:30:00.000Z,2021-08-05T12:01:04.690Z,2021-08-05T12:01:04.690Z,0,294.21,05-Aug-2021,,
39,610d24621ad12f0009efa80b,STLTECH,EQ,N,301.75,293.65,294.9,294.5,295.3,294.6,363675,108095211.45,318.0,115.5,8160,INE089C01029,2021-08-06,2021-08-05T18:30:00.000Z,2021-08-06T12:00:34.414Z,2021-08-06T12:00:34.414Z,0,297.23,06-Aug-2021,,
40,611118e14df23100084ea80d,STLTECH,EQ,N,299.65,290.9,296.45,292.8,292.9,294.5,270460,79750244.3,318.0,125.25,9854,INE089C01029,2021-08-09,2021-08-08T18:30:00.000Z,2021-08-09T12:00:33.663Z,2021-08-09T12:00:33.663Z,0,294.87,09-Aug-2021,,
41,61126a63cce4c40008592e8a,STLTECH,EQ,N,294.0,275.75,292.8,282.45,283.0,292.8,534753,152253739.5,318.0,125.25,13873,INE089C01029,2021-08-10,2021-08-09T18:30:00.000Z,2021-08-10T12:00:35.442Z,2021-08-10T12:00:35.442Z,0,284.72,10-Aug-2021,,
42,6113bbdb3759be0008112022,STLTECH,EQ,N,287.15,262.15,282.45,277.85,278.0,282.45,727563,198382515.9,318.0,125.25,16463,INE089C01029,2021-08-11,2021-08-10T18:30:00.000Z,2021-08-11T12:00:27.962Z,2021-08-11T12:00:27.962Z,0,272.67,11-Aug-2021,,
43,61150d61ea5aa20008b5ec0f,STLTECH,EQ,N,299.4,277.85,277.85,297.05,298.3,277.85,761625,221855375.35,318.0,125.25,16057,INE089C01029,2021-08-12,2021-08-11T18:30:00.000Z,2021-08-12T12:00:33.993Z,2021-08-12T12:00:33.993Z,0,291.29,12-Aug-2021,,
44,61165ee45fd7730008dabc08,STLTECH,EQ,N,298.0,283.15,298.0,285.5,287.3,297.05,557739,161059327.25,318.0,125.25,14275,INE089C01029,2021-08-13,2021-08-12T18:30:00.000Z,2021-08-13T12:00:36.067Z,2021-08-13T12:00:36.067Z,0,288.77,13-Aug-2021,,
45,611a5361cce4c4000835bf42,STLTECH,EQ,N,288.95,277.05,286.8,279.95,280.0,285.5,335291,93969322.35,318.0,138.35,8707,INE089C01029,2021-08-16,2021-08-15T18:30:00.000Z,2021-08-16T12:00:33.535Z,2021-08-16T12:00:33.535Z,0,280.26,16-Aug-2021,,
46,611ba501cce4c4000862a96a,STLTECH,EQ,N,281.2,270.0,280.0,271.55,271.35,279.95,532201,145532855.45,318.0,138.35,14972,INE089C01029,2021-08-17,2021-08-16T18:30:00.000Z,2021-08-17T12:01:05.084Z,2021-08-17T12:01:05.084Z,0,273.45,17-Aug-2021,,
47,611cf663913015000809b692,STLTECH,EQ,N,278.95,272.5,276.0,273.4,273.0,271.55,255277,70258095.15,318.0,138.35,5936,INE089C01029,2021-08-18,2021-08-17T18:30:00.000Z,2021-08-18T12:00:35.746Z,2021-08-18T12:00:35.746Z,0,275.22,18-Aug-2021,,
48,611f9961d448d000082abd0e,STLTECH,EQ,N,272.2,260.15,269.5,261.95,261.2,273.4,418546,110783778.1,318.0,138.35,14166,INE089C01029,2021-08-20,2021-08-19T18:30:00.000Z,2021-08-20T12:00:33.811Z,2021-08-20T12:00:33.811Z,0,264.69,20-Aug-2021,"[{'symbol': 'STLTECH', 'series': 'EQ', 'ind': '-', 'faceVal': '2', 'subject': ' Annual General Meeting/Dividend - Rs 2 Per Share', 'exDate': '20-Aug-2021', 'recDate': '-', 'bcStartDate': '24-Aug-2021', 'bcEndDate': '26-Aug-2021', 'ndStartDate': '-', 'comp': 'Sterlite Technologies Limited', 'isin': 'INE089C01029', 'ndEndDate': '-', 'caBroadcastDate': None}]",
49,61238de18095fa0008ef231c,STLTECH,EQ,N,268.95,245.05,265.15,246.95,245.9,261.95,618465,155556592.05,318.0,139.25,15456,INE089C01029,2021-08-23,2021-08-22T18:30:00.000Z,2021-08-23T12:00:33.835Z,2021-08-23T12:00:33.835Z,0,251.52,23-Aug-2021,,
50,6124df7fa93925000851978e,STLTECH,EQ,N,273.0,245.0,246.4,267.15,268.0,246.95,1121114,289727489.75,318.0,139.25,25011,INE089C01029,2021-08-24,2021-08-23T18:30:00.000Z,2021-08-24T12:01:03.454Z,2021-08-24T12:01:03.454Z,0,258.43,24-Aug-2021,,
51,612630db2596f30008058725,STLTECH,EQ,N,274.95,265.2,268.0,267.3,267.5,267.15,497991,134663537.55,318.0,139.25,13523,INE089C01029,2021-08-25,2021-08-24T18:30:00.000Z,2021-08-25T12:00:27.721Z,2021-08-25T12:00:27.721Z,0,270.41,25-Aug-2021,,
52,612782652596f30008059053,STLTECH,EQ,N,269.75,257.55,267.5,259.3,259.15,267.3,307441,80487605.4,318.0,139.25,8166,INE089C01029,2021-08-26,2021-08-25T18:30:00.000Z,2021-08-26T12:00:37.547Z,2021-08-26T12:00:37.547Z,0,261.8,26-Aug-2021,,
53,6128d3fe91221d0009d5aa04,STLTECH,EQ,N,266.0,255.25,259.8,260.65,260.55,259.3,354241,92401986.55,318.0,139.25,7705,INE089C01029,2021-08-27,2021-08-26T18:30:00.000Z,2021-08-27T12:01:02.913Z,2021-08-27T12:01:02.913Z,0,260.84,27-Aug-2021,,
54,612cc863f99d720008a94b38,STLTECH,EQ,N,265.0,258.9,260.6,261.35,260.0,260.65,465045,122116328.15,318.0,139.25,9393,INE089C01029,2021-08-30,2021-08-29T18:30:00.000Z,2021-08-30T12:00:35.493Z,2021-08-30T12:00:35.493Z,0,262.59,30-Aug-2021,,
55,612e19dceb0c1300081385bb,STLTECH,EQ,N,264.5,257.3,262.0,259.0,259.2,261.35,577001,150345978.1,318.0,139.25,15094,INE089C01029,2021-08-31,2021-08-30T18:30:00.000Z,2021-08-31T12:00:28.175Z,2021-08-31T12:00:28.175Z,0,260.56,31-Aug-2021,,
56,612f6b61fca57e0008dc5131,STLTECH,EQ,N,266.0,255.3,259.95,259.4,258.15,259.0,367516,96322121.6,318.0,139.25,9302,INE089C01029,2021-09-01,2021-08-31T18:30:00.000Z,2021-09-01T12:00:34.003Z,2021-09-01T12:00:34.003Z,0,262.09,01-Sep-2021,,
57,6130bcddadef12000850444b,STLTECH,EQ,N,267.15,258.9,258.95,262.85,262.0,259.4,596555,156420943.95,318.0,139.25,10924,INE089C01029,2021-09-02,2021-09-01T18:30:00.000Z,2021-09-02T12:00:29.763Z,2021-09-02T12:00:29.763Z,0,262.21,02-Sep-2021,,
