,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,symChange,CA
15,6149c97fbf6def0009839cf2,ASALCBR,EQ,N,427.0,416.3,426.5,423.45,425.0,428.45,45075,19021195.0,516.0,236.65,3995,INE073G01016,2021-09-21,2021-09-20T18:30:00.000Z,2021-09-21T12:01:03.491Z,2021-09-21T12:01:03.491Z,0,421.99,21-Sep-2021,,
16,614b1afff6172a0008df42e7,ASALCBR,EQ,N,439.0,425.1,426.05,433.65,435.0,423.45,79815,34602109.25,516.0,236.65,3772,INE073G01016,2021-09-22,2021-09-21T18:30:00.000Z,2021-09-22T12:01:03.365Z,2021-09-22T12:01:03.365Z,0,433.53,22-Sep-2021,,
17,614c6c64a3bb370008f10195,ASALCBR,EQ,N,442.75,426.0,438.0,428.2,429.0,433.65,207318,90678179.15,516.0,236.65,7287,INE073G01016,2021-09-23,2021-09-22T18:30:00.000Z,2021-09-23T12:00:36.705Z,2021-09-23T12:00:36.705Z,0,437.39,23-Sep-2021,,
18,614dbde285b9910009314607,ASALCBR,EQ,N,439.0,419.8,430.0,423.35,427.0,428.2,77147,33012848.5,516.0,236.65,5137,INE073G01016,2021-09-24,2021-09-23T18:30:00.000Z,2021-09-24T12:00:34.749Z,2021-09-24T12:00:34.749Z,0,427.92,24-Sep-2021,,
19,6151b27fc3f15b0008afe496,ASALCBR,EQ,N,434.8,423.7,433.75,428.35,429.7,423.35,50497,21671779.3,516.0,236.65,3678,INE073G01016,2021-09-27,2021-09-26T18:30:00.000Z,2021-09-27T12:01:03.753Z,2021-09-27T12:01:03.753Z,0,429.17,27-Sep-2021,,
20,615304074a501f0008b259be,ASALCBR,EQ,N,433.1,421.1,430.0,423.4,423.2,428.35,43484,18513549.45,516.0,236.65,2816,INE073G01016,2021-09-28,2021-09-27T18:30:00.000Z,2021-09-28T12:01:11.060Z,2021-09-28T12:01:11.060Z,0,425.76,28-Sep-2021,,
21,615455804a501f0008e4ccad,ASALCBR,EQ,N,432.5,413.95,424.8,430.8,430.0,423.4,46634,19826923.7,516.0,236.65,3191,INE073G01016,2021-09-29,2021-09-28T18:30:00.000Z,2021-09-29T12:01:04.514Z,2021-09-29T12:01:04.514Z,0,425.16,29-Sep-2021,,
22,6155a6ff595682000817647a,ASALCBR,EQ,N,457.0,434.35,437.45,444.7,443.95,430.8,284947,128185324.3,516.0,236.65,13050,INE073G01016,2021-09-30,2021-09-29T18:30:00.000Z,2021-09-30T12:01:03.842Z,2021-09-30T12:01:03.842Z,0,449.86,30-Sep-2021,,
23,6156f85c00c38500086c2de0,ASALCBR,EQ,N,454.8,438.55,443.9,444.45,447.1,444.7,101341,45376148.15,516.0,236.65,6186,INE073G01016,2021-10-01,2021-09-30T18:30:00.000Z,2021-10-01T12:00:28.816Z,2021-10-01T12:00:28.816Z,0,447.76,01-Oct-2021,,
24,615aecff00c38500088dfa32,ASALCBR,EQ,N,452.35,442.05,448.5,445.95,448.0,444.45,83602,37459674.0,516.0,236.65,4061,INE073G01016,2021-10-04,2021-10-03T18:30:00.000Z,2021-10-04T12:01:03.633Z,2021-10-04T12:01:03.633Z,0,448.07,04-Oct-2021,,
